Location,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
"4340 DUNCAN AVE # 210
SAINT LOUIS, MO, 63110-1110
USA",38.636248,-90.255336,1,range_interpolation,"4340 Duncan Ave","# 210","Saint Louis, MO 63110",4340,"Duncan Ave",#,210,"Saint Louis",MO,"St. Louis City",63110,US,"TIGER/Line® from the US Census Bureau"
"4340 DUNCAN AVE
Suite 400
SAINT LOUIS, MO, 63110-1110
USA",38.636248,-90.255336,1,range_interpolation,"4340 Duncan Ave","Ste 400","Saint Louis, MO 63110",4340,"Duncan Ave",Ste,400,"Saint Louis",MO,"St. Louis City",63110,US,"TIGER/Line® from the US Census Bureau"
"2184 Welsch Industrial Ct
Maryland Heights, Missouri, US",38.700168,-90.432643,0.96,rooftop,"2184 Welsch Industrial Ct",,"Saint Louis, MO 63146",2184,"Welsch Industrial Ct",,,"Saint Louis",MO,"St. Louis County",63146,US,"St Louis (CC0)"
"1100 Corporate Square
Suite 175
Saint Louis, MO 63132
United States",38.677479,-90.400576,1,rooftop,"1100 Corporate Square Dr","Ste 175","Saint Louis, MO 63132",1100,"Corporate Square Dr",Ste,175,"Saint Louis",MO,"St. Louis County",63132,US,"St Louis (CC0)"
"1100 Corporate Square Dr. Suite 227
St. Louis, MO 63132",38.677479,-90.400576,1,rooftop,"1100 Corporate Square Dr","Ste 227","Saint Louis, MO 63132",1100,"Corporate Square Dr",Ste,227,"Saint Louis",MO,"St. Louis County",63132,US,"St Louis (CC0)"
"1100 Corporate Square Dr.
Suite 264
Saint Louis, MO 63132",38.677479,-90.400576,1,rooftop,"1100 Corporate Square Dr","Ste 264","Saint Louis, MO 63132",1100,"Corporate Square Dr",Ste,264,"Saint Louis",MO,"St. Louis County",63132,US,"St Louis (CC0)"
"1100 Corporate Square Dr
Suite 210
St Louis, Missouri 63132, US",38.677479,-90.400576,1,rooftop,"1100 Corporate Square Dr","Ste 210","Saint Louis, MO 63132",1100,"Corporate Square Dr",Ste,210,"Saint Louis",MO,"St. Louis County",63132,US,"St Louis (CC0)"
"877 N East St. #304, Indianapolis, IN 46202",39.778876,-86.148512,1,rooftop,"877 North East St","# 304","Indianapolis, IN 46202",877,"North East St",#,304,Indianapolis,IN,"Marion County",46202,US,"Address Points of Indiana: Address Points Maintained by Local Government Agencies in Indiana, (Indiana Geographic Information Office, File Geodatabase, Point Feature Class)"
,0,0,0,,,,,"The query parameter is an empty string. Please supply a valid address.",,,,,,,,,
"743 Spirit 40 Park Dr.
Chesterfield, MO 63005
Suite #237",38.673052,-90.641343,1,rooftop,"743 Spirit 40 Park Dr","Ste 237","Chesterfield, MO 63005",743,"Spirit 40 Park Dr",Ste,237,Chesterfield,MO,"St. Louis County",63005,US,"St Louis (CC0)"
,0,0,0,,,,,"The query parameter is an empty string. Please supply a valid address.",,,,,,,,,
"331 Consort Dr.
St. Louis, MO 63011, US",38.596986,-90.491463,1,rooftop,"331 Consort Dr",,"Ballwin, MO 63011",331,"Consort Dr",,,Ballwin,MO,"St. Louis County",63011,US,"St Louis (CC0)"
,0,0,0,,,,,"The query parameter is an empty string. Please supply a valid address.",,,,,,,,,
"1005 N. Warson Road, Suite 305
Saint Louis, MO 63132, US",38.676203,-90.395381,1,rooftop,"1005 N Warson Rd","Ste 305","Saint Louis, MO 63132",1005,"N Warson Rd",Ste,305,"Saint Louis",MO,"St. Louis County",63132,US,"St Louis (CC0)"
"4340 Duncan Avenue Suite #205
Saint Louis, MO 63110",38.636248,-90.255336,1,range_interpolation,"4340 Duncan Ave","Ste 205","Saint Louis, MO 63110",4340,"Duncan Ave",Ste,205,"Saint Louis",MO,"St. Louis City",63110,US,"TIGER/Line® from the US Census Bureau"
"4340 Duncan Ave Ste 301
Saint Louis, MO 63110",38.636248,-90.255336,1,range_interpolation,"4340 Duncan Ave","Ste 301","Saint Louis, MO 63110",4340,"Duncan Ave",Ste,301,"Saint Louis",MO,"St. Louis City",63110,US,"TIGER/Line® from the US Census Bureau"
"4340 Duncan Ave, Suite 222, St. Louis, MO 63110",38.636248,-90.255336,1,range_interpolation,"4340 Duncan Ave","Ste 222","Saint Louis, MO 63110",4340,"Duncan Ave",Ste,222,"Saint Louis",MO,"St. Louis City",63110,US,"TIGER/Line® from the US Census Bureau"
"190 Carondelet Plaza
Suite 1103
St Louis, Missouri 63105, US",38.648004,-90.33319,1,rooftop,"190 Carondelet Plz","Ste 1103","Saint Louis, MO 63105",190,"Carondelet Plz",Ste,1103,"Saint Louis",MO,"St. Louis County",63105,US,"St Louis (CC0)"
,0,0,0,,,,,"The query parameter is an empty string. Please supply a valid address.",,,,,,,,,
"Block 10-1, Blanchardstown Corporate Park
Ballycoolin
Dublin, 15, IE",37.536825,-121.967899,0.6,street_center,"Blanchard St",,"Fremont, CA 94538",,"Blanchard St",,,Fremont,CA,"Alameda County",94538,US,"TIGER/Line® dataset from the US Census Bureau"
"341 Conway Hill Road, St. Louis, MO 63141-7239",38.650457,-90.499676,1,rooftop,"341 Conway Hill Rd",,"Saint Louis, MO 63141",341,"Conway Hill Rd",,,"Saint Louis",MO,"St. Louis County",63141,US,"St Louis (CC0)"
"2210 Welsch Industrial Ct
St Louis, Missouri 63146, US",38.700387,-90.433775,1,rooftop,"2210 Welsch Industrial Ct",,"Saint Louis, MO 63146",2210,"Welsch Industrial Ct",,,"Saint Louis",MO,"St. Louis County",63146,US,"St Louis (CC0)"
"800 N. Lindbergh Blvd.
St. Louis, MO 63167",38.669263,-90.401532,1,rooftop,"800 N Lindbergh Blvd",,"Saint Louis, MO 63141",800,"N Lindbergh Blvd",,,"Saint Louis",MO,"St. Louis County",63141,US,"St Louis (CC0)"
"1001 North Warson Rd
St Louis, Missouri 63132, US",38.673905,-90.396881,1,rooftop,"1001 N Warson Rd",,"Saint Louis, MO 63132",1001,"N Warson Rd",,,"Saint Louis",MO,"St. Louis County",63132,US,"St Louis (CC0)"
"4340 Duncan Ave
236
St Louis, Missouri 63110, US",38.636248,-90.255336,1,range_interpolation,"4340 Duncan Ave",236,"Saint Louis, MO 63110",4340,"Duncan Ave",,236,"Saint Louis",MO,"St. Louis City",63110,US,"TIGER/Line® from the US Census Bureau"
"595 Anglum Rd
Hazelwood, MO 63042, US",38.77182,-90.389034,1,rooftop,"595 Anglum Rd",,"Hazelwood, MO 63042",595,"Anglum Rd",,,Hazelwood,MO,"St. Louis County",63042,US,"St Louis (CC0)"
"11300 Switzer Rd
Overland Park, Kansas 66210, US",38.924237,-94.708871,1,rooftop,"11300 Switzer Rd",,"Overland Park, KS 66210",11300,"Switzer Rd",,,"Overland Park",KS,"Johnson County",66210,US,"City of Olathe"
"170 English Landing Dr
Suite 201B
Parkville, Missouri 64152, US",39.188689,-94.6857,1,rooftop,"170 English Landing Dr","Ste 201","Parkville, MO 64152",170,"English Landing Dr",Ste,201,Parkville,MO,"Platte County",64152,US,"Platte County"
"1005 N. Warson Road
Saint Louis, MO 63132, US",38.676203,-90.395381,1,rooftop,"1005 N Warson Rd",,"Saint Louis, MO 63132",1005,"N Warson Rd",,,"Saint Louis",MO,"St. Louis County",63132,US,"St Louis (CC0)"
"See Canopy Biosciences",0,0,0,,,,,"Could not geocode address. No matches found.",,,,,,,,,
"20 S Sarah St
St Louis, Missouri 63108, US",38.637034,-90.2469,1,range_interpolation,"20 S Sarah St",,"Saint Louis, MO 63108",20,"S Sarah St",,,"Saint Louis",MO,"St. Louis City",63108,US,"TIGER/Line® from the US Census Bureau"
,0,0,0,,,,,"The query parameter is an empty string. Please supply a valid address.",,,,,,,,,
"4340 Duncan Ave, St. Louis, MO 63110",38.636248,-90.255336,1,range_interpolation,"4340 Duncan Ave",,"Saint Louis, MO 63110",4340,"Duncan Ave",,,"Saint Louis",MO,"St. Louis City",63110,US,"TIGER/Line® from the US Census Bureau"
"4340 Duncan Ave
Biogenerator Suite 221
ST. LOUIS, MO 63110, US",38.636248,-90.255336,1,range_interpolation,"4340 Duncan Ave","Ste 221","Saint Louis, MO 63110",4340,"Duncan Ave",Ste,221,"Saint Louis",MO,"St. Louis City",63110,US,"TIGER/Line® from the US Census Bureau"
"4340 Duncan Ave, St. Louis, MO 63110",38.636248,-90.255336,1,range_interpolation,"4340 Duncan Ave",,"Saint Louis, MO 63110",4340,"Duncan Ave",,,"Saint Louis",MO,"St. Louis City",63110,US,"TIGER/Line® from the US Census Bureau"
"4340 Duncan Ave, St. Louis, MO 63110",38.636248,-90.255336,1,range_interpolation,"4340 Duncan Ave",,"Saint Louis, MO 63110",4340,"Duncan Ave",,,"Saint Louis",MO,"St. Louis City",63110,US,"TIGER/Line® from the US Census Bureau"
"4220 Duncan Avenue
Suite 201
Saint Louis, MO 63110",38.634305,-90.250253,1,rooftop,"4220 Duncan Ave","Ste 201","Saint Louis, MO 63110",4220,"Duncan Ave",Ste,201,"Saint Louis",MO,"St. Louis City",63110,US,"City of St Louis"
